,All Trades,Long Trades,Short Trades
Annualized Return,0.16369393416039557,0.281751161385412,0.03697169420566859
Annualized Volatility,0.052032743461688374,0.14019924473002596,0.15010752214567188
Sharpe Ratio,3.1459793059138454,2.009648211215152,0.24630140899794084
Max Drawdown,-0.025160013946021742,-0.07528206338550514,-0.1409252121145036
Max Drawdown Period,2025-03-10 to 2025-04-09 (30 days),2024-11-22 to 2024-12-19 (27 days),2025-03-13 to 2025-06-10 (89 days)
Win Rate,0.51068,0.52968,0.49168
Profit/Loss Ratio,1.0919127255389751,1.081532347733272,1.082166746019004
